proposalId,final_tags,matched_keywords,decision,confidence,evidence
AL-1,Bridge & Replace; Pavement & Marking; River & South; Interchange & Replacement; Creek & Town,bridge; drain; drainage; grading; pavement; replace; replacement; river,hold,0.41,"Matched 'bridge' ... for constructing the Bridge Replacement (Grading, Drainage, Pavement, and Bridge Removal) on SR-14 ov"
AK-1,Bridge & Replace; River & South; Near & Valley; Creek & Town,bridge; federal; replace; south,hold,0.31,Matched 'federal' ... This federally funded contract includes all necessary design and construction service
AZ-1,Bridge & Replace; Pavement & Marking; Resurfacing & Shoulder; Preservation & Surface; River & South; Near & Valley; Interchange & Replacement; Creek & Town,asphalt; bridge; bridge deck; concrete; deck; lanes; line; marking; mill; milling; other; pavement; pavement marking; paving; replace; roadway; shoulder; shoulders; widening,publish,0.76,Matched 'line' ... Route (SR 64) between MP 185.79 and MP 205 from I-40 to Pipeline Road within the Kaibab National Forest. The work consists of Pavement rehab
AZ-2,Bridge & Replace; Pavement & Marking; Resurfacing & Shoulder; Preservation & Surface; Near & Valley; Interchange & Replacement,begins; marking; milepost; mill; other; pavement; pavement marking; replace,hold,0.49,Matched 'begins' ... located on Navajo Nation and Hopi lands in Coconino County begins at Tuba City and extends east along US 160 from Milepost 321.80 to Milepo
AR-1,Bridge & Replace; Pavement & Marking; Resurfacing & Shoulder; Preservation & Surface; River & South; Interchange & Replacement; Creek & Town,asphalt; base; concrete; drain; drainage; items; maintenance; marking; mill; milling; pavement; pavement marking; paving; roadway; surface,publish,0.74,"Matched 'items' ... ECT CONSISTS OF CLEARING AND GRUBBING, REMOVAL AND DISPOSAL ITEMS, FLOWABLE SELECT MATERIAL, EARTHWORK, SELECT GRANULAR BACKFILL, AGGREGATE"
CA-1,Bridge & Replace; River & South; Near & Valley,district; near; north; south; valley,hold,0.27,Matched 'near' ... CONSTRUCTION ON STATE HIGHWAY IN NEVADA COUNTY NEAR GRASS VALLEY FROM 0.2 MILE SOUTH OF LA BARR MEADOWS ROAD TO 0.1 MILE NORTH
CO-1,,,hold,0.0,
CT-1,Bridge & Replace; River & South; Creek & Town,bridge; bridge no; town,hold,0.22,Matched 'bridge' ... REHABILITATION OF BRIDGE NO.06729 U.S. ROUTE 6 OVER AN UNNAMED BROOK TOWNS OF WINDHAM AND MANSFIEL
DE-1,Pavement & Marking; Resurfacing & Shoulder; Interchange & Replacement,asphalt; marking; mill; milling; other; pavement; pavement marking,hold,0.27,"Matched 'pavement' ... PAVEMENT & REHABILITATION, KENT II, (WHITELEYSBURG & VERNON), 2025 - The propose"
FL-1,Bridge & Replace; Pavement & Marking,base; items; roadway,hold,0.22,"Matched 'roadway' ... mits and estimated quantities per cycle, per section of the roadway are specified in Attachment 'A' on pages 36 through 38 of the Specificat"
FL-2,,,hold,0.0,
GA-1,Bridge & Replace; Creek & Town,bridge; creek,hold,0.15,Matched 'bridge' ... 0.181 MILE OF CONSTRUCTION OF A BRIDGE AND APPROACHES ON MOULTRIE LENOX RD (CR 478) OVER GUM CREEK (LIBP). (E)
ID-1,Resurfacing & Shoulder; Near & Valley,addition; line; shoulder; shoulders,hold,0.17,"Matched 'addition' ... y 0.75 miles of 3200 N Road, from 4400 E to 4475 E with the addition of paved shoulders, shoulder and centerline rumble strips and approach"
IN-1,,,hold,0.0,
IA-1,Bridge & Replace; Resurfacing & Shoulder; Interchange & Replacement; Creek & Town,bridge; bridge deck; deck; reconstruction; replace; replacement,hold,0.32,Matched 'reconstruction' ... RECONSTRUCTION - BRIDGE DECK REPLACEMENT
KS-1,Near & Valley,valley,hold,0.07,"Matched 'valley' ... FR OAK ST TO PLUM ST, 6TH ST FR OAK ST TO PLUM ST, AND KAW VALLEY RD AT 15TH ST AND 17TH ST INTERS IN THE CITY OF WAMEGO IN PT CO. LGTH IS"
KY-1,,,hold,0.0,
KY-2,,,hold,0.0,
LA-1,Bridge & Replace; Preservation & Surface; River & South; Near & Valley; Creek & Town,begins; bridge; maintenance; north; south,hold,0.39,"Matched 'maintenance' ... MAINTENANCE MOWING, LITTER & TRASH COLLECTION AND DISPOSAL, AND TREE AND BRUSH C"
LA-2,,,hold,0.0,
ME-1,,,hold,0.0,
MD-1,Bridge & Replace; River & South; Creek & Town,bridge; bridge no,hold,0.21,"Matched 'bridge' ... Cleaning and Painting of Existing Bridge Nos. 1503900, 1504500, 1504603, 1504604, 1504900, and 1506800 on Various"
MD-2,Preservation & Surface,counties; maintenance,hold,0.08,"Matched 'maintenance' ... PROVIDE MAINTENANCE OF TRAFFIC AT VARIOUS LOCATIONS IN CARROLL, FREDERICK, AND HOWARD CO"
MA-1,Bridge & Replace; Interchange & Replacement,replace; replacement,hold,0.15,Matched 'replace' ... Replacement of Fire Alarm & Suppression Systems at Andrew Station Boston MA
MA-2,,,hold,0.0,
MA-3,Interchange & Replacement,interchange; street,hold,0.08,Matched 'street' ... Flood Relief on Route 20- Grafton Street (Route 122) Interchange to Flint Pond [SHREWSBURY -WORCESTER ]
MI-1,Pavement & Marking; Resurfacing & Shoulder; Preservation & Surface; Interchange & Replacement,addition; concrete; marking; pavement; pavement marking; reconstruction; street,hold,0.33,"Matched 'reconstruction' ... 1.80 mi of road reconstruction including concrete curb, gutter, sidewalk and ramps, storm sewer,"
MN-1,Bridge & Replace; River & South; Near & Valley; Creek & Town,bridge; bridge no; grading; north; river; south,hold,0.35,"Matched 'north' ... ow Medicine County on USC Service Rd (Old TH 67) from 5250' North of Yellow Medicine River to 350' South of Yellow Medicine River, and on TH"
MS-1,Bridge & Replace; River & South; Near & Valley; Creek & Town,bridge; drain; federal; lanes; south,hold,0.32,"Matched 'drain' ... Grade, Drain, Bridge & Pave 4 Lanes on SR 7 from CR 370 to 0.4 miles south of SR 6, kno"
MO-1,Preservation & Surface; Near & Valley,line; line near; near; surface,hold,0.16,"Matched 'surface' ... Job JNW0042 Route 69 CLINTON County. Resurface from Route 116 to the Clay County line near Lawson, the total length of"
MO-2,Preservation & Surface; River & South; Near & Valley,south; surface,hold,0.21,"Matched 'surface' ... Job JNW0089 Route 13, BU 36 CALDWELL, DAVIESS County. Resurface and ADA improvement on Route 13 from Route 6 in Gallatin to Hamilton sou"
MT-1,Bridge & Replace; Pavement & Marking; Resurfacing & Shoulder; Interchange & Replacement,interchange; marking; mill; other; pavement; pavement marking; resurfacing; roadway,hold,0.33,"Matched 'resurfacing' ... This project on I-90 consists of resurfacing the existing roadway including mill, plant mix overlay, and seal and"
NE-1,Preservation & Surface,preservation,hold,0.07,Matched 'preservation' ... TECUMSEH HISTORIC SQUARE PRESERVATION
NE-2,Pavement & Marking; Interchange & Replacement; Creek & Town,drain; drainage; street,hold,0.21,Matched 'drainage' ... I-80 DRAINAGE AT 96TH STREET
NJ-1,Bridge & Replace; River & South; Creek & Town,bridge; federal; grading; paving; river; river bridge; town,hold,0.27,"Matched 'river bridge' ... Route 4 Hackensack River Bridge Contract No. 006023460; Grading, Paving and Structures City Of Hack"
NJ-2,Pavement & Marking; Preservation & Surface; River & South; Near & Valley,concrete; counties; maintenance; repair; south,hold,0.31,"Matched 'maintenance' ... Maintenance Concrete Structural Repair Contract, South - 2026; Various Locations"
NJ-3,Bridge & Replace; Resurfacing & Shoulder; Preservation & Surface; Interchange & Replacement; Creek & Town,bridge; milepost; repair; repairs; resurfacing,hold,0.39,Matched 'bridge' ... Bridge Repairs and Resurfacing; Milepost 126 to 172 (2026)
NM-1,Bridge & Replace; Pavement & Marking; Creek & Town,bridge; roadway,hold,0.24,"Matched 'bridge' ... Bridge/Roadway New Const, Roadway Recon, Lighting, ITS"
NM-2,Bridge & Replace; Pavement & Marking,roadway,hold,0.14,Matched 'roadway' ... Roadway Rehabilitation
NY-1,Bridge & Replace; Preservation & Surface; Creek & Town,bridge; maintenance,hold,0.21,"Matched 'bridge' ... BRIDGE MAINTENANCE & REHAB - Rts I-87, 907C, 907M & 909C, City of New York"
NY-2,Interchange & Replacement; Creek & Town,mill; town,hold,0.14,"Matched 'mill' ... HIGHWAY MILL & FILL - Rts I-81, SH 54-3, SH 57-6 & SH 57-8, Town of Salina"
NY-3,Resurfacing & Shoulder; Preservation & Surface; Interchange & Replacement,milepost; mill,hold,0.24,"Matched 'mill' ... CONTRACT TAS 25-12 / D215024 - MILL AND INLAY, SAFETY IMPROVEMENTS, AND MISCELLANEOUS WORK ON I-90 BETWEEN MILE"
NY-4,Bridge & Replace; Interchange & Replacement; Creek & Town,bridge; interchange; replace; replacement,hold,0.24,Matched 'replace' ... TAA 25-21B / D215044 Replacement of the Interchange 21 Bridge over the NYS Thruway (I-87) at MP 113.8
NC-1,Pavement & Marking; River & South; Creek & Town,drain; drainage; grading; paving,hold,0.22,"Matched 'grading' ... GRADING, DRAINAGE, PAVING, SIGNALS, AND CULVERTS."
NC-2,Resurfacing & Shoulder; Interchange & Replacement,mill; milling; reconstruction; resurfacing; shoulder,hold,0.17,"Matched 'milling' ... MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION."
NC-3,Resurfacing & Shoulder,resurfacing,hold,0.07,Matched 'resurfacing' ... RESURFACING
ND-1,Bridge & Replace; Pavement & Marking; Resurfacing & Shoulder; Preservation & Surface; Interchange & Replacement; Creek & Town,bridge; bridge deck; concrete; deck; mill; milling; pavement; repair,hold,0.47,Matched 'concrete' ... CONCRETE PAVEMENT REPAIR; MILLING AND HMA; STRUCTURE REPAIR; BRIDGE DECK OVERLAY
ND-2,Pavement & Marking; River & South; Creek & Town,base; drain; grading; marking; pavement,hold,0.23,Matched 'grading' ... GRADING; SALVAGED BASE; PCC PAVEMENT; STORM DRAIN; LIGHTING; SIGNALS; MARKING; S
NS-1,,,hold,0.0,
OH-1,Pavement & Marking; Resurfacing & Shoulder; Preservation & Surface; Creek & Town,marking; pavement; pavement marking; repair; repairs; resurfacing; town,hold,0.32,"Matched 'town' ... THE VILLAGES OF BETHESDA AND BARNESVILLE, GOSHEN AND WARREN TOWNSHIPS, BELMONT COUNTY, OHIO, IN ACCORDANCE WITH PLANS AND SPECIFICATIONS BY"
OH-2,Bridge & Replace; Pavement & Marking; Interchange & Replacement; Creek & Town,bridge; items; other; street,hold,0.29,"Matched 'street' ... CE WITH PLANS AND SPECIFICATIONS BY RECONSTRUCTING THE LINN STREET OVERPASS OVER I-75, THE PEDESTRIAN BRIDGE OVER WINCHELL AVE, AND RECONSTU"
OK-1,Pavement & Marking; River & South; Near & Valley; Interchange & Replacement,interchange; near; north; pavement; south,hold,0.32,Matched 'pavement' ... PAVEMENT REHABILITATION INDIAN NATION TURNPIKE (SH-375): FROM 8.2 MILES SOUTH OF
OK-2,Bridge & Replace; Preservation & Surface; Near & Valley; Creek & Town,bridge; district; repair,hold,0.31,Matched 'bridge' ... BRIDGE REPAIR COUNTY ROADS: AT MULTIPLE LOCATIONS IN DISTRICT I AND DISTRICT VII
OR-1,,,hold,0.0,
SC-1,River & South; Near & Valley,river; south,hold,0.15,Matched 'south' ... S-22 over South Edisto River #1
SC-2,Preservation & Surface,preservation,hold,0.07,Matched 'preservation' ... 2026 Aiken County Preservation
TN-1,Pavement & Marking; Creek & Town,drain; drainage,hold,0.14,Matched 'drainage' ... The construction of a small drainage structure on S.R. 111 at L.M. 15.76.
TN-2,Near & Valley,line; near,hold,0.08,Matched 'line' ... rtation System (ITS) on I-40 from the Shelby/Fayette County line to near I-840 in Dickson County.
VA-1,Bridge & Replace; Creek & Town,bridge; widening,hold,0.15,Matched 'bridge' ... DECEL LANE EXTENSION & BRIDGE WIDENING
VA-2,Preservation & Surface,surface,hold,0.07,Matched 'surface' ... 2026 SURFACE TREATMENT - SECONDARY
WA-1,Bridge & Replace; River & South; Creek & Town,bridge; replace; river; river bridge,hold,0.25,Matched 'river bridge' ... E FORK LEWIS RIVER BRIDGE NB - REPLACE BRIDGE
WA-2,,,hold,0.0,
WV-1,,,hold,0.0,
WV-2,,,hold,0.0,
WI-1,Pavement & Marking,marking; pavement; pavement marking,hold,0.09,Matched 'pavement' ... Sw Region Pavement Marking; Stn Locations Per Annual Plan
WI-2,Creek & Town,creek; town,hold,0.08,"Matched 'town' ... Town of Coon, Dodson Hollow Road; Dodson Hollow Creek Br B-62-0270"
